bboalert,2,ler

Option,2ler
1C,1D,5+!H's | 6-16 HCP
1C1D--,1H,0-10  HCP
1C1D--1H--,1N,15-17 HCP
1C1D--1H--,1S,4+!h-4!s | 11-16 HCP
1C1D--1H--,2C,17+HCP
1C1D--1H--,2D,4+!h-5!d | 14-16 HCP
1C1D--1H--,2H,12-16 HCP
1C1D--1H--,2S,5+!h-4!s | 17+HCP
1C1D--1H--,3C,5!H-5!C | 17+HCP
1C1D--1H--,3D,5!H-5!d | 17+HCP
1C1D--,1N,8-11 HCP | balanced hand
1C1D--,1S,8+ HCP | one-round forcing
1C1D--,2C,11+HCP | ask about strength
1C1D--2C--,2D,11-13 HCP | unbalanced
1C1D--2C--,2H,6-10 HCP
1C1D--2C--,2N,11-13 HCP | balanced
1C1D--2C--,3C,14-16 HCP | unbalanced
1C1D--2C--,3N,14-16 HCP | balanced
1C1D--,2D,12+ HCP
1C1D--,2H,6-10 HCP
1C1D--,2N,12-14 HCP
1C1D--,3C,Asking stopper in !C
1C1D--,3H,0-5 HCP
1C,1H,5+!s's | 6-16 HCP
1C1H--,1N,8-11 HCP | balanced hand
1C1H--,1S,0-10  HCP
1C1H--1S--,1N,15-17 HCP | balanced hand
1C1H--1S--,2C,17+HCP
1C1H--1S--,2D,5!s-4+!d | 14-16 HCP
1C1H--1S--,2H,5!s-4+!h | 11-16 HCP
1C1H--1S--,2S,14-16 HCP
1C1H--1S--,3C,5+!s-5+!C | 17+ HCP
1C1H--1S--,3D,5+!s-5+!d | 17+ HCP
1C1H--1S--,3H,5+!s-5+!H | 17+ HCP
1C1H--,2C,11+HCP | ask about strength
1C1H--2C--,2D,11-13 HCP | unbalanced
1C1H--2C--,2N,11-13 HCP | balanced
1C1H--2C--,2S,6-10 HCP
1C1H--2C--,3C,14-16 HCP | unbalanced
1C1H--2C--,3N,14-16 HCP | balanced
1C1H--,2D,12+ HCP
1C1H--,2H,12+ HCP
1C1H--,2N,12-14 HCP
1C1H--,2S,6-10 HCP
1C1H--,3C,Asking stopper in !c
1C1H--,3S,0-5 HCP
1C,1N,2-suited hand or 6+!C's | 11-16 HCP
1C1N--,2C,Asking about hand
1C1N--2C--,2D,6-10 or 17+ HCP | 5(!h/!s)-4+(!s/!h)
1C1N--2C--2D--,2H,To Play
1C1N--2C--2D--,2N,8-9 HCP
1C1N--2C--2D--,2S,To Play
1C1N--2C--2D--,3C,transfer to 3!d for major fit
1C1N--2C--2D--3C--,3D,Automatic
1C1N--2C--2D--3C--3D--,3H,slam try in !H | asking about cues
1C1N--2C--2D--3C--3D--,3S,slam try in !s | asking about cues
1C1N--2C--2D--,3D,9-10
1C1N--2C--2D--,3H,7-8 HCP
1C1N--2C--2D--,3N,To Play
1C1N--2C--2D--,3S,7-8 HCP
1C1N--2C--2D--,4D,asking about key-cards
1C1N--2C--2D--,4H,To Play
1C1N--2C--2D--,4S,To Play
1C1N--2C--2D--,5D,To Play
1C1N--2C--2D--,--,To Play
1C1N--2C--,2H,17-18 HCP | 5!H-4+!D
1C1N--2C--,2N,19+HCP | 5(!H/!s)-4+!D
1C1N--2C--,2S,17-18 HCP | 5!s-4+!D
1C,1S,5+!d's | 11-16 HCP
1C,2C,14+HCP | 3-suited hand or 17+HCP 4(!H/!S)-5!d
1C2C--,2D,6+ HCP | asking about hand
1C2C--2D--,2H,14-18 HCP 4!S4!H4!D1!C or 17-19 HCP 4!h-5!d
1C2C--2D--,2N,20+HCP | 4(!H/!s)-5+!d
1C2C--2D--,2S,17-19 HCP | 4!s-5!d 
1C2C--2D--,3C,19+ HCP 4!S4!H4!D1!C
1C2C--,2H,0-5 HCP | PASS / CORRECT to 2!S
1C,2D,17+HCP | 6+(!C/!D/!h/!s)
1C2D--,2H,asking about long suit | 0-6 HCP
1C2D--2H--,2N,6+!h's | 17+ HCP
1C2D--2H--,2S,6+!s's | 17+ HCP
1C2D--2H--,3C,6+!c's | 17+ HCP
1C2D--2H--,3D,6+!d's | 17+ HCP
1C2D--,2N,asking about long suit with !C stopper | 7+HCP
1C2D--,2S,asking about long suit | 7+HCP
1C,2H,weak
1C,2N,6-10 HCP | 5+!h-5+!d
1C,2S,weak
1C,3C,6-10 HCP | 5+!s-5+!D
1C,Db,16+ HCP balanced | 1NT overcall hand or more
1CDb--,1D,0-7 HCP
1CDb--1D--,1H,4+!h-5+!D | 14-16 HCP
1CDb--1D--,1N,18-19 HCP | balanced hand
1CDb--1D--1N--,2C,asking about 4-card major
1CDb--1D--1N--2C--,2D,no 4-card major
1CDb--1D--1N--2C--2D--,2H,0-7 HCP | 4+!H-4+!S | pass / correct 
1CDb--1D--1N--2C--2D--,2N,0-7 HCP | 6+!c's with 4M
1CDb--1D--1N--2C--2D--2N--,3C,Automatic
1CDb--1D--1N--2C--2D--2N--3C--,3H,4!H-6!C
1CDb--1D--1N--2C--2D--2N--3C--,3S,4!S-6!C
1CDb--1D--1N--2C--2D--2N--3C--,4C,asking key cards in !C's
1CDb--1D--1N--2C--2D--,2S,invitation for 3NT
1CDb--1D--1N--2C--2D--2S--,2N,no interest in game
1CDb--1D--1N--2C--2D--2S--2N--,3C,To Play | 8-9 HCP
1CDb--1D--1N--2C--2D--2S--2N--,3D,To Play | 8-9 HCP
1CDb--1D--1N--2C--2D--2S--,3H,3!h | accept invitation
1CDb--1D--1N--2C--2D--2S--,3N,3!H-3!S | accept invitation
1CDb--1D--1N--2C--2D--2S--3N--,4H,To Play
1CDb--1D--1N--2C--2D--2S--3N--,4S,To Play
1CDb--1D--1N--2C--2D--2S--,3S,3!S | accept invitation
1CDb--1D--1N--2C--2D--,3C,minor suit stayman with 4!C-4!D-4(!S/!H)-1(1!h/!S) hand
1CDb--1D--1N--2C--2D--3C--,3D,Automatic
1CDb--1D--1N--2C--2D--3C--3D--,3H,4!H-6!D
1CDb--1D--1N--2C--2D--3C--3D--,3S,4!S-6!D
1CDb--1D--1N--2C--2D--3C--3D--,4D,asking key cards in !d's
1CDb--1D--1N--2C--2D--,3D,asking longer major suit | game values
1CDb--1D--1N--2C--2D--3D--,3H,3!H
1CDb--1D--1N--2C--2D--3D--3H--,3N,4!S | Good control over !H
1CDb--1D--1N--2C--2D--3D--3H--,3S,No control over !h (4-card !s)
1CDb--1D--1N--2C--2D--3D--3H--,4C,5+!C-4!S | No control over !H
1CDb--1D--1N--2C--2D--3D--3H--,4D,5+!D-4!S | No control over !H
